Rank (of 2021),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016),Rank Change From 2016
598,Palm Springs High,9-12,Palm Springs Unified,"1,778",25.7,68.7 %,70.3,836,238
599,Orange Cove High,9-12,Kings Canyon Joint Unified,631,26.2,95.3 %,70.2,889,290
600,Sonoma Valley High,9-12,Sonoma Valley Unified,"1,296",18.7,49.4 %,70.2,570,30
601,Downey High,9-12,Downey Unified,"4,274",25.4,64.5 %,70.2,534,67
602,Arroyo Grande High,8-12,Lucia Mar Unified,"2,205",21.4,39.4 %,70.1,717,115
603,Napa High,9-12,Napa Valley Unified,"1,884",22.4,47.6 %,70,611,8
604,Health Careers Academy,9-12,Stockton Unified,466,31,75.8 %,70,901,297
605,Warren High,9-12,Downey Unified,"3,701",25.3,64.1 %,70,580,25
606,Salinas High,9-12,Salinas Union High,"2,581",24.3,44.4 %,69.9,667,61
607,Alliance Ted K. Tajima High,9-12,Los Angeles Unified,262,15.4,87.8 %,69.9,562,45
608,Ramona High,9-12,Ramona City Unified,"1,604",27.6,32.9 %,69.8,682,74
609,Roseland Charter,K-12,Roseland,"1,220",21.4,85.2 %,69.7,683,74
610,Joseph A. Gregori High,9-12,Modesto City High,"2,205",25.3,45.7 %,69.7,522,88
611,South El Monte High,9-12,El Monte Union High,"1,388",21.6,91.5 %,69.6,724,113
612,Ocean View High,9-12,Huntington Beach Union High,"1,498",26.2,55.1 %,69.6,742,130
613,Hart-Ransom Academic Charter,K-12,Hart-Ransom Union Elementary,331,25.4,39.9 %,69.5,779,166
614,Weed High,9-12,Siskiyou Union High,155,14,63.2 %,69.5,669,55
615,Half Moon Bay High,9-12,Cabrillo Unified,"1,020",24.2,34.8 %,69.4,532,83
616,El Rancho High,9-12,El Rancho Unified,"2,635",24.6,74.3 %,69.3,730,114
617,Cabrillo High,9-12,Lompoc Unified,"1,463",23.2,41.1 %,69.2,438,179
618,Glendale High,9-12,Glendale Unified,"2,433",25.6,68.6 %,69.2,648,30
619,San Benito High,9-12,San Benito High,"2,897",24.1,50.8 %,69.1,679,60
620,John Marshall Senior High,9-12,Los Angeles Unified,"2,340",25.4,71.9 %,69.1,544,76
621,South Fork Junior - Senior High,9-12,Southern Humboldt Joint Unified,196,16.3,39.8 %,69,1145,524
622,Rancho Mirage High,9-12,Palm Springs Unified,"1,566",25.2,67.8 %,68.8,899,277
623,MIT Academy,9-12,Vallejo City Unified,414,25.8,60.1 %,68.8,474,149
624,Northview High,9-12,Covina-Valley Unified,"1,333",24.6,74.2 %,68.7,851,227
625,San Pasqual High,9-12,Escondido Union High,"2,258",24.2,52.1 %,68.7,787,162
626,John H. Francis Polytechnic,9-12,Los Angeles Unified,"2,876",23.5,88.9 %,68.7,804,178
627,Millennium Charter,9-12,Tracy Joint Unified,510,20.4,18.2 %,68.7,413,214
628,Monterey High,9-12,Monterey Peninsula Unified,"1,277",19.9,45.8 %,68.6,762,134
629,Portola Junior/Senior High,7-12,Plumas Unified,253,18,47.8 %,68.4,242,387
630,La Mirada High,9-12,Norwalk-La Mirada Unified,"2,098",24.3,48.2 %,68.4,505,125
631,San Marcos Senior High,9-12,Santa Barbara Unified,"2,181",23.7,39.3 %,68.2,929,298
632,Enterprise Alternative,K-12,Clovis Unified,79,19.7,50.6 %,68.1,1314,682
633,Sierra Vista High,9-12,Baldwin Park Unified,"2,013",24.8,85.7 %,68.1,886,253
634,Marshall Fundamental,6-12,Pasadena Unified,"1,971",24.3,63.3 %,68.1,419,215
635,Live Oak High,9-12,Live Oak Unified,506,22,74.1 %,68,537,98
636,Laguna Creek High,9-12,Elk Grove Unified,"1,797",19.7,49.0 %,68,625,11
637,Valley Academy of Arts and Sciences,9-12,Los Angeles Unified,"1,201",25.5,61.0 %,67.9,865,228
638,West Covina High,9-12,West Covina Unified,"2,376",24.7,65.9 %,67.9,450,188
639,Bear Creek High,9-12,Lodi Unified,"1,975",21.7,59.8 %,67.7,783,144
640,Wallis Annenberg High,9-12,Los Angeles Unified,482,20.9,96.9 %,67.7,781,141
641,Oakland School for the Arts,6-12,Oakland Unified,745,24.8,12.1 %,67.7,255,386
642,Brawley Union High,9-12,Brawley Union High,"1,690",25.6,72.9 %,67.6,1157,515
643,Santiago High,9-12,Garden Grove Unified,"2,121",23.5,78.8 %,67.6,821,178
644,John Henry High,9-12,West Contra Costa Unified,125,31.2,82.4 %,67.5,,(n/a)
645,North Point Academy,9-12,Nevada Joint Union High,69,34.5,37.7 %,67.4,282,363
646,Aspire Golden State College Preparatory Academy,6-12,Oakland Unified,578,21.4,88.6 %,67.3,1170,524
647,Central City Value,9-12,Los Angeles Unified,483,24.1,90.9 %,67.3,462,185
648,Whittier High,9-12,Whittier Union High,"2,082",25.3,74.5 %,67.2,971,323
649,Mayfair High,7-12,Bellflower Unified,"3,023",22.2,54.6 %,67.2,427,222
650,Charter Oak High,9-12,Charter Oak Unified,"1,645",25.7,50.2 %,67.2,565,85
651,River Oaks Academy,K-12,Ventura County Office Of Education,200,18.1,22.0 %,67.2,341,310
652,Montgomery High,9-12,Santa Rosa High,"1,624",23.2,32.0 %,67.2,573,79
653,Magnolia Science Academy,6-12,Los Angeles Unified,540,20,91.3 %,67.2,527,126
654,Bright Star Secondary Charter Academy,9-12,Los Angeles Unified,564,22.5,93.1 %,66.8,486,168
655,Pasadena High,9-12,Pasadena Unified,"1,871",21.7,60.4 %,66.8,751,96
656,South Tahoe High,9-12,Lake Tahoe Unified,"1,047",20.9,47.5 %,66.8,1020,364
657,Leroy Greene Academy,K-12,Natomas Unified,601,20.7,55.1 %,66.7,497,160
658,El Modena High,9-12,Orange Unified,"2,086",24.8,42.7 %,66.6,496,162
659,Bassett Senior High,9-12,Bassett Unified,"1,069",23.7,84.6 %,66.5,962,303
660,Lakewood High,9-12,Long Beach Unified,"3,378",24.8,51.0 %,66.5,607,53
661,Hamilton High,9-12,Hemet Unified,299,13,80.3 %,66.3,723,62
662,Fred C. Beyer High,9-12,Modesto City High,"1,716",24.5,48.5 %,66.3,595,67
663,Sutter High,9-12,Sutter Union High,723,22.5,29.1 %,66.3,619,44
664,City Arts And Technical High,9-12,San Francisco Unified,340,18.8,73.5 %,66.3,994,330
665,Holtville High,9-12,Holtville Unified,528,27.7,61.0 %,66.2,1031,366
666,CORE Butte Charter,K-12,Butte County Office Of Education,693,19.8,42.4 %,66.2,456,210
667,Mueller Charter (Robert L.),K-12,Chula Vista Elementary,"1,297",23.1,84.2 %,66.2,,(n/a)
668,Oakdale High,9-12,Oakdale Joint Unified,"1,605",22.6,30.5 %,66.1,583,85
669,Rio Vista High,9-12,River Delta Joint Unified,381,23.8,45.4 %,66.1,765,96
670,Nipomo High,8-12,Lucia Mar Unified,964,18.5,57.9 %,66,1104,434
671,San Rafael High,9-12,San Rafael City High,"1,228",21.5,56.2 %,66,637,34
672,Armijo High,9-12,Fairfield-Suisun Unified,"2,391",24.1,56.4 %,65.9,757,85
673,Palmdale Aerospace Academy,K-12,Palmdale Elementary,"1,084",25.8,81.7 %,65.8,501,172
674,El Camino Fundamental High,9-12,San Juan Unified,"1,531",25,45.5 %,65.8,711,37
675,Camino Nuevo High #2,9-12,Los Angeles Unified,472,26.2,96.6 %,65.7,410,265
676,Cesar E. Chavez Learning Acads-Soc Just Humanitas Academy,9-12,Los Angeles Unified,509,18.8,88.0 %,65.6,891,215
677,ARISE High,9-12,Oakland Unified,263,20.2,93.5 %,65.6,1222,545
678,Hughson High,9-12,Hughson Unified,712,20.9,40.0 %,65.6,569,109
679,Casa Roble Fundamental High,9-12,San Juan Unified,"1,262",23.3,31.1 %,65.6,659,20
680,Millikan High,9-12,Long Beach Unified,"3,616",25.1,44.5 %,65.5,749,69
681,Golden Valley Charter,K-12,Mesa Union Elementary,728,28,27.1 %,65.4,381,300
682,Oakland Unity High,9-12,Oakland Unified,337,42.1,76.9 %,65.4,713,31
683,Daniel Pearl Journalism & Communications Magnet,9-12,Los Angeles Unified,366,21.5,56.0 %,65.3,540,143
684,East Nicolaus High,9-12,East Nicolaus Joint Union High,284,18.9,41.6 %,65.3,752,68
685,Academies of the Antelope Valley,7-12,Antelope Valley Union High,331,16.5,58.0 %,65.2,680,5
686,Central Valley High,9-12,Gateway Unified,644,19.5,64.9 %,65.1,1071,385
687,El Capitan High,9-12,Grossmont Union High,"1,591",21.7,53.9 %,65.1,1040,353
688,Phillip J Patino School of Entrepreneurship,10-12,Fresno Unified,107,17.8,74.8 %,65,,(n/a)
689,Occs:chep/Pchs,K-12,Orange County Department Of Education,"1,095",49.7,22.2 %,64.9,,(n/a)
690,Lassen High,9-12,Lassen Union High,829,21.8,30.4 %,64.9,507,183
691,Cathedral City High,9-12,Palm Springs Unified,"1,623",21.6,83.0 %,64.8,892,201
692,Nova Academy,9-12,Santa Ana Unified,390,19.5,85.6 %,64.8,658,34
693,Livingston High,9-12,Merced Union High,"1,124",22.4,87.7 %,64.6,869,176
694,Laurel Preparatory Academy,6-12,San Diego Unified,139,27.8,49.6 %,64.6,628,66
695,San Pedro Senior High,9-12,Los Angeles Unified,"2,489",23.2,60.7 %,64.4,867,172
696,Oasis High (Alternative),9-12,Fallbrook Union High,107,21.4,20.6 %,64.3,578,118
697,El Camino High,9-12,South San Francisco Unified,"1,387",24.3,24.5 %,64.3,568,129
698,Central Union High,9-12,Central Union High,"1,889",23.3,75.3 %,64.1,830,132
699,Ventura High,9-12,Ventura Unified,"2,162",25.1,41.7 %,64.1,744,45
700,Ceiba College Preparatory Academy,6-12,Pajaro Valley Unified,526,65.7,82.7 %,64.1,780,80
701,California High,9-12,Whittier Union High,"2,819",28.1,72.1 %,64,684,17
702,Rosemont High,9-12,Sacramento City Unified,"1,355",22.9,74.8 %,64,1038,336
703,Bitney College Preparatory High,9-12,Nevada County Office Of Education,92,13.1,56.5 %,63.9,1202,499
704,Riverside Preparatory,K-12,Oro Grande Elementary,"2,356",24,62.9 %,63.9,835,131
705,Vintage High,9-12,Napa Valley Unified,"1,845",22.7,40.1 %,63.8,671,34
706,Capistrano Connections Academy,K-12,Capistrano Unified,"2,812",30.2,38.6 %,63.8,574,132
707,Foresthill High,9-12,Placer Union High,174,19.3,33.3 %,63.8,500,207
708,e3 Civic High,9-12,San Diego Unified,405,16.8,69.1 %,63.7,755,47
709,Polytechnic High,9-12,Long Beach Unified,"4,370",25.7,58.1 %,63.7,721,12
710,Duarte High,9-12,Duarte Unified,944,21.4,74.3 %,63.6,645,65
711,C. K. McClatchy High,9-12,Sacramento City Unified,"2,268",25.4,58.3 %,63.6,665,46
712,Animo Venice Charter High,9-12,Los Angeles Unified,599,22.1,87.3 %,63.5,1078,366
713,Deer Valley High,9-12,Antioch Unified,"2,431",26.1,54.3 %,63.5,702,11
714,Southwest High,9-12,Central Union High,"2,063",23.4,71.5 %,63.5,820,106
715,Atascadero High,9-12,Atascadero Unified,"1,331",20.7,28.6 %,63.4,448,267
716,Verdugo Academy,K-12,Glendale Unified,98,24.5,33.7 %,63.4,714,2
717,Mt. Whitney High,9-12,Visalia Unified,"1,590",23.7,51.9 %,63.4,530,187
718,Ukiah High,9-12,Ukiah Unified,"1,594",21.8,60.1 %,63.3,917,199
719,Healdsburg High,9-12,Healdsburg Unified,616,19.2,39.0 %,63.3,672,47
720,Hercules High,9-12,West Contra Costa Unified,980,26.4,42.2 %,63.2,597,123
721,Whitmore Charter High,9-12,Ceres Unified,138,17.2,12.3 %,63.2,395,326
722,Los Amigos High,9-12,Garden Grove Unified,"1,816",24.5,82.2 %,63.2,764,42
723,LPS Oakland R & D Campus,9-12,Oakland Unified,337,22.4,93.5 %,63.2,949,226
724,Live Oak High,9-12,Morgan Hill Unified,"1,099",22.8,37.9 %,63.2,688,36
725,McKinleyville High,9-12,Northern Humboldt Union High,621,20.7,34.8 %,63.1,553,172
726,Cesar E. Chavez Learning Academy - Arts/Theatre/Entertain Mag,9-12,Los Angeles Unified,498,20.7,83.5 %,63.1,1320,594
727,Anderson Valley Junior-Senior High,7-12,Anderson Valley Unified,232,12.2,79.7 %,63.1,822,95
728,Summit High,9-12,Fontana Unified,"2,448",22.6,67.4 %,63,847,119
729,Turlock High,9-12,Turlock Unified,"2,198",22.2,60.4 %,63,655,74
730,Wilson High,9-12,Long Beach Unified,"3,792",25.9,56.7 %,63,879,149
731,Lincoln High,9-12,Lincoln Unified,"2,839",23.8,52.0 %,63,703,28
732,Terra Linda High,9-12,San Rafael City High,"1,117",21.4,32.2 %,63,602,130
733,Los Altos High,9-12,Hacienda La Puente Unified,"2,025",25.3,67.1 %,62.9,796,63
734,Contreras Learning Center-Academic Leadership Community,9-12,Los Angeles Unified,472,21.4,92.0 %,62.9,951,217
735,Segerstrom High,9-12,Santa Ana Unified,"2,433",27.3,88.9 %,62.9,666,69
736,Wheatland Union High,9-12,Wheatland Union High,707,22,36.9 %,62.7,807,71
737,Hanford High,9-12,Hanford Joint Union High,"1,480",25,62.4 %,62.7,871,134
738,Patriot High,9-12,Jurupa Unified,"2,130",24.4,62.4 %,62.7,777,39
739,River City High,9-12,Washington Unified,"2,057",23.1,62.4 %,62.7,695,44
740,Academy of Careers and Exploration,7-12,Helendale Elementary,288,22.1,58.0 %,62.6,465,275
741,Oakland Technical High,9-12,Oakland Unified,"2,016",21.6,47.9 %,62.6,512,229
742,Frazier Mountain High,9-12,El Tejon Unified,286,23.8,56.3 %,62.5,1068,326
743,Temescal Canyon High,9-12,Lake Elsinore Unified,"2,221",24.1,52.4 %,62.4,598,145
744,Dixon High,9-12,Dixon Unified,"1,124",21.6,46.4 %,62.4,581,163
745,Covina High,9-12,Covina-Valley Unified,"1,316",26.3,71.7 %,62.4,795,50
746,Buena High,9-12,Ventura Unified,"1,949",24.9,41.8 %,62.3,707,39
747,Bellflower High,7-12,Bellflower Unified,"2,658",21.6,79.1 %,62.3,643,104
748,Windsor High,9-12,Windsor Unified,"1,712",22.8,29.3 %,62.2,604,144
749,Riverbank High,9-12,Riverbank Unified,671,18.6,74.4 %,62.2,937,188
750,Green Design at Diego Rivera Learning Complex,9-12,Los Angeles Unified,480,26.6,91.0 %,62.2,1392,642
751,Anzar High,9-12,Aromas/San Juan Unified,361,20,54.9 %,62,718,33
752,Corona High,9-12,Corona-Norco Unified,"2,764",24,61.5 %,61.9,604,148
753,Leadership Public Schools: Richmond,9-12,West Contra Costa Unified,511,21.2,91.6 %,61.8,834,81
754,Middletown High,9-12,Middletown Unified,466,20.2,65.7 %,61.7,938,184
755,Newark Memorial High,9-12,Newark Unified,"1,767",24.8,42.1 %,61.7,641,114
756,Abraham Lincoln High,9-12,San Jose Unified,"1,903",22.6,55.8 %,61.6,731,25
757,Shandon High,9-12,Shandon Joint Unified,66,8.2,75.8 %,61.6,863,106
758,Dos Palos High,9-12,Dos Palos Oro Loma Joint Unified,670,21.6,89.6 %,61.6,894,136
759,Monache High,9-12,Porterville Unified,"1,781",23.4,65.5 %,61.5,788,29
760,Ucla Community K-12,K-12,Los Angeles Unified,998,21.6,87.8 %,61.5,587,173
761,Felicitas and Gonzalo Mendez High,9-12,Los Angeles Unified,913,19.8,89.3 %,61.4,1063,302
762,Minarets Charter High,9-12,Chawanakee Unified,253,28.1,29.6 %,61.4,677,85
763,Sacramento Charter High,9-12,Sacramento City Unified,952,18.3,71.6 %,61.3,801,38
764,Santa Barbara Senior High,9-12,Santa Barbara Unified,"2,188",24,40.0 %,61.3,870,106
765,Northridge Academy High,9-12,Los Angeles Unified,"1,072",25.5,70.8 %,61.3,786,21
766,Paloma Valley High,9-12,Perris Union High,"2,988",27.9,52.4 %,61.2,690,76
767,Alliance Judy Ivie Burton Technology Academy High,9-12,Los Angeles Unified,600,21.4,96.0 %,61.2,630,137
768,Fort Bragg High,9-12,Fort Bragg Unified,518,16.1,57.0 %,61.2,741,27
769,Del Norte High,9-12,Del Norte County Unified,878,22.5,53.9 %,61.2,550,219
770,Oakdale Charter,7-12,Oakdale Joint Unified,51,17,23.5 %,61.2,1022,252
771,South East High,9-12,Los Angeles Unified,"2,105",26.3,89.0 %,61.1,1010,239
772,Birmingham Community Charter High,9-12,Los Angeles Unified,"3,278",26,84.5 %,61.1,699,73
773,Keyes to Learning Charter,K-12,Keyes Union,336,22.4,25.3 %,61,1006,233
774,Millennium Charter High,9-12,Monterey County Office Of Education,192,,6.8 %,60.9,484,290
775,Gilroy High,9-12,Gilroy Unified,"1,501",21.7,61.4 %,60.9,797,22
776,Santa Paula High,9-12,Santa Paula Unified,"1,588",24.4,76.6 %,60.8,1073,297
777,Silver Oak High Public Montessori Charter,9-12,Hayward Unified,161,40.2,54.0 %,60.8,1325,548
778,Nova Education Center,K-12,Novato Unified,53,17.6,22.6 %,60.8,817,39
779,Clairemont High,9-12,San Diego Unified,"1,000",17.5,55.5 %,60.7,636,143
780,Santa Rosa High,9-12,Santa Rosa High,"1,988",22.5,30.7 %,60.6,482,298
781,William Workman High,9-12,Hacienda La Puente Unified,"1,117",22.3,86.5 %,60.6,1011,230
782,Linda Esperanza Marquez High B LIBRA Academy,9-12,Los Angeles Unified,634,27.5,88.3 %,60.6,676,106
783,Learning Choice Academy,K-12,San Diego Unified,983,17.8,48.7 %,60.5,708,75
784,Tulare Western High,9-12,Tulare Joint Union High,"1,853",24.3,73.7 %,60.4,887,103
785,Valley Charter High,9-12,Stanislaus County Office Of Education,189,15.7,40.7 %,60.4,1003,218
786,Chaffey District Online High,9-12,Chaffey Joint Union High,92,18.4,43.5 %,60.3,900,114
787,Clear Lake High,9-12,Lakeport Unified,397,23.3,46.1 %,60.3,506,281
788,Nea Community Learning Center,K-12,Alameda Unified,528,24,22.0 %,60.2,873,85
789,Porterville High,9-12,Porterville Unified,"1,932",24.7,71.8 %,60.2,811,22
790,Happy Camp High,9-12,Siskiyou Union High,62,12.4,45.2 %,60.1,1329,539
791,Shadow Hills High,9-12,Desert Sands Unified,"2,006",26.7,63.8 %,60.1,850,59
792,Valley View High,9-12,Moreno Valley Unified,"2,633",24.1,71.2 %,60,828,36
793,Yosemite High,9-12,Yosemite Unified,648,20.2,45.4 %,60,612,181
794,Calistoga Junior-Senior High,7-12,Calistoga Joint Unified,351,16.7,49.9 %,60,1348,554
795,Freedom High,9-12,Liberty Union High,"2,624",23.6,35.3 %,60,650,145
796,Renaissance High School for the Arts,9-12,Long Beach Unified,452,26.5,58.2 %,60,793,3
797,Gustine High,9-12,Gustine Unified,598,22.1,70.4 %,60,846,49
798,Rocklin Independent Charter Academy,K-12,Rocklin Unified,145,14.5,32.4 %,59.9,773,25
799,Yerba Buena High,9-12,East Side Union High,"1,788",23.2,68.6 %,59.9,841,42
800,Pioneer High,9-12,Woodland Joint Unified,"1,525",22.1,60.8 %,59.7,590,210
801,Trinity High,9-12,Trinity Alps Unified,318,19.8,60.7 %,59.7,678,123
802,Santa Fe High,9-12,Whittier Union High,"2,395",29.5,72.1 %,59.6,571,231
803,Yucca Valley High,9-12,Morongo Unified,"1,359",25.1,57.7 %,59.6,888,85
804,Orestimba High,9-12,Newman-Crows Landing Unified,797,22.1,49.9 %,59.6,975,171
805,Hayfork High,9-12,Mountain Valley Unified,84,10.5,85.7 %,59.5,748,57
806,Dunlap Leadership Academy,9-12,Kings Canyon Joint Unified,79,19.7,73.4 %,59.4,1064,258
807,City Honors College Preparatory Academy,9-12,Inglewood Unified,294,24.5,39.5 %,59.4,998,191
808,Rivercrest Preparatory,7-12,Jurupa Unified,113,28.2,45.1 %,59.4,1088,280
809,Hillcrest High,9-12,Alvord Unified,"1,790",25.5,57.4 %,59.4,880,71
810,Polytechnic High,9-12,Riverside Unified,"2,744",26.1,52.0 %,59.3,853,43
811,Highland High,9-12,Kern High,"1,962",26.5,63.6 %,59.3,710,101
812,Big Bear High,9-12,Bear Valley Unified,700,21.2,59.7 %,59.3,832,20
813,Herbert Hoover High,9-12,Glendale Unified,"1,640",25.6,65.4 %,59.2,409,404
814,La Entrada High,9-12,Placentia-Yorba Linda Unified,73,24.3,17.8 %,59.1,892,78
815,School of Business and Tourism at Contreras Learning Complex,9-12,Los Angeles Unified,461,20.9,92.4 %,59.1,799,16
816,Independence High,9-12,Kern High,"2,071",32.8,53.5 %,59.1,491,325
817,Mariposa County High,9-12,Mariposa County Unified,522,17.4,47.9 %,58.9,435,382
818,West Mall Alternative,K-12,Atascadero Unified,90,22.5,23.3 %,58.9,254,564
819,Avalon K-12,K-12,Long Beach Unified,626,18.9,68.9 %,58.8,719,100
820,Beaumont Senior High,9-12,Beaumont Unified,"2,562",35,58.1 %,58.8,980,160
821,Alexander Hamilton Senior High,9-12,Los Angeles Unified,"2,879",25,62.8 %,58.8,732,89
822,Aveson Global Leadership Academy,6-12,Pasadena Unified,414,27.6,32.1 %,58.8,1085,263
823,Oak Hills High,9-12,Hesperia Unified,"2,400",27.9,65.7 %,58.8,973,150
824,Sci Technical Engr Arts And Math At Legacy High School Complex,9-12,Los Angeles Unified,566,33.2,85.9 %,58.7,1000,176
825,Tokay High,9-12,Lodi Unified,"2,042",23.2,60.5 %,58.6,1147,322
826,Paradise Elearning Charter Academy,9-12,Paradise Unified,56,56,57.1 %,58.5,531,295
827,West Valley High,9-12,Anderson Union High,870,24.8,39.8 %,58.5,747,80
828,Modesto High,9-12,Modesto City High,"2,450",25.2,77.8 %,58.5,639,189
829,El Capitan High,9-12,Merced Union High,"1,557",23.5,74.2 %,58.4,739,90
830,Chino High,9-12,Chino Valley Unified,"2,229",22.9,61.9 %,58.3,809,21
831,River Springs Charter,K-12,Riverside County Office Of Education,"5,833",26.7,48.9 %,58.3,925,94
832,Animo Ralph Bunche Charter High,9-12,Los Angeles Unified,618,22,97.3 %,58.3,623,209
833,Rim of the World Senior High,9-12,Rim Of The World Unified,"1,151",22.1,37.0 %,58.2,885,52
834,Linda Esperanza Marquez High C School of Social Justice,9-12,Los Angeles Unified,580,23.2,90.2 %,58.1,813,21
835,iQ Academy California-Los Angeles,K-12,Rowland Unified,554,18.4,57.9 %,58.1,942,107
836,El Monte High,9-12,El Monte Union High,"1,830",22,95.2 %,58.1,883,47
837,Alliance Tennenbaum Family Technology High,9-12,Los Angeles Unified,408,22.6,90.7 %,58.1,966,129
838,Sunset High (Continuation),9-12,San Dieguito Union High,123,15.3,22.8 %,58.1,930,92
839,Nogales High,9-12,Rowland Unified,"1,966",25.5,75.7 %,58,802,37
840,Willow Glen High,9-12,San Jose Unified,"1,697",23.2,37.5 %,58,794,46
841,Costa Mesa High,7-12,Newport-Mesa Unified,"1,814",24.1,66.5 %,57.9,939,98
842,Humanitas Academy Of Art And Technical At Esteban E. Torres High #4,9-12,Los Angeles Unified,412,22.8,90.1 %,57.9,1381,539
843,Colony High,9-12,Chaffey Joint Union High,"2,135",25.4,72.7 %,57.8,881,38
844,School of Arts and Enterprise,6-12,State Board Of Education - The School Of Arts And Enterprise,733,17.8,77.5 %,57.7,944,100
845,Delta High,10-12,River Delta Joint Unified,213,53.2,51.2 %,57.7,868,23
846,South High,9-12,Kern High,"1,981",25.3,92.4 %,57.6,823,23
847,Hilltop Senior High,9-12,Sweetwater Union High,"2,200",26.5,54.8 %,57.5,556,291
848,Mt. Eden High,9-12,Hayward Unified,"2,009",24.2,69.2 %,57.5,914,66
849,Baldwin Park High,9-12,Baldwin Park Unified,"1,979",24.1,85.7 %,57.5,838,11
850,Patterson High,9-12,Patterson Joint Unified,"1,715",23.8,67.4 %,57.4,1047,197
851,Quartz Hill High,9-12,Antelope Valley Union High,"3,063",24.9,34.9 %,57.4,737,114
852,Minarets High,9-12,Chawanakee Unified,230,23,41.7 %,57.3,594,258
853,Morse High,9-12,San Diego Unified,"1,773",22.4,81.2 %,57.3,698,155
854,King City High,9-12,South Monterey County Joint Union High,"1,018",26.7,72.5 %,57.3,988,134
855,Fowler High,9-12,Fowler Unified,772,20.8,74.0 %,57.2,921,66
856,Rio Linda High,9-12,Twin Rivers Unified,"1,738",21.1,76.8 %,57.2,955,99
857,Madison High,9-12,San Diego Unified,"1,125",19.7,66.8 %,57.1,735,122
858,Family Partnership Home Study Charter,K-12,Blochman Union Elementary,454,18.1,60.4 %,57,760,98
859,Ronald E. McNair High,9-12,Lodi Unified,"1,659",22.1,75.5 %,57,1210,351
860,New Technology High,9-12,Napa Valley Unified,403,23.7,34.5 %,56.9,513,347
861,Aspire Alexander Twilight Secondary Academy,6-12,San Juan Unified,392,26.1,79.3 %,56.9,523,338
862,Pioneer Valley High,9-12,Santa Maria Joint Union High,"2,694",24,73.7 %,56.8,981,119
863,Bay Area Technology,6-12,Oakland Unified,284,18.9,96.1 %,56.8,1254,391
864,Valley Oaks Charter,K-12,Kern County Office Of Education,"1,220",36.9,32.3 %,56.8,528,336
865,Hamilton High,9-12,Hamilton Unified,314,19.6,68.5 %,56.8,952,87
866,Public Safety Academy,6-12,San Bernardino City Unified,410,22.7,76.1 %,56.7,1297,431
867,Fillmore Senior High,9-12,Fillmore Unified,982,20.8,73.0 %,56.7,1013,146
868,Geyserville New Technical Academy,6-12,Geyserville Unified,116,9.6,63.8 %,56.7,,(n/a)
869,Charter Community School Home Study Academy,K-12,El Dorado County Office Of Education,463,19.2,32.6 %,56.7,656,213
870,Escondido High,9-12,Escondido Union High,"2,415",23.2,70.1 %,56.7,759,111
871,Sierra Academy of Expeditionary Learning,9-12,Nevada Joint Union High,140,15.5,30.0 %,56.7,961,90
872,Jurupa Valley High,9-12,Jurupa Unified,"1,616",24.4,70.0 %,56.7,1062,190
873,Central Valley High,9-12,Ceres Unified,"1,834",23.8,83.3 %,56.5,979,106
874,Rancho Cotate High,9-12,Cotati-Rohnert Park Unified,"1,426",25,30.2 %,56.5,908,34
875,E. Los Angeles Renaiss Academy at Esteban E. Torres High #2,9-12,Los Angeles Unified,402,22.3,88.1 %,56.4,958,83
876,South Gate Senior High,9-12,Los Angeles Unified,"2,872",29,88.3 %,56.4,1082,206
877,Firebaugh High,9-12,Firebaugh-Las Deltas Unified,676,20.4,88.5 %,56.3,1055,178
878,Empire Springs Charter,K-12,Helendale Elementary,913,33.8,29.0 %,56.3,499,379
879,Jesse M. Bethel High,9-12,Vallejo City Unified,"1,696",23.8,53.7 %,56.3,1306,427
880,San Jacinto Valley Academy,K-12,San Jacinto Unified,"1,405",23.4,56.9 %,56.2,458,422
881,Ocean Grove Charter,K-12,San Lorenzo Valley Unified,"1,977",24.1,18.0 %,56.2,743,138
882,Circle of Independent Learning,K-12,Fremont Unified,304,38,16.5 %,56.2,559,323
883,Concord High,9-12,Mt. Diablo Unified,"1,555",21.3,47.0 %,56.1,818,65
884,Oak Grove High,9-12,East Side Union High,"1,812",22.9,52.7 %,56.1,917,33
885,Fortuna Union High,9-12,Fortuna Union High,873,21.2,47.2 %,56.1,1012,127
886,Susan H. Nelson,6-12,Temecula Valley Unified,233,25.8,16.7 %,56,907,21
887,Abraham Lincoln Senior High,9-12,Los Angeles Unified,"1,030",19.8,89.9 %,56,800,87
888,Mammoth High,9-12,Mammoth Unified,331,15.7,52.9 %,55.9,477,411
889,Tulelake High,7-12,Tulelake Basin Joint Unified,221,14.7,72.9 %,55.9,806,83
890,Kelseyville High,9-12,Kelseyville Unified,524,21.8,72.5 %,55.9,849,41
891,Ramon C. Cortines School of Visual and Performing Arts,9-12,Los Angeles Unified,"1,527",23.8,73.4 %,55.8,704,187
892,Las Plumas High,9-12,Oroville Union High,"1,092",22.7,63.6 %,55.7,1098,206
893,California Connections Academy@central,K-12,Alpaugh Unified,403,44.7,49.9 %,55.6,911,18
894,Magnolia Science Academy 3,6-12,Los Angeles Unified,455,23.9,80.9 %,55.6,1092,198
895,Wasco High,9-12,Wasco Union High,"1,701",23.6,79.4 %,55.6,729,166
