Rank (of 5692),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016)
5046,Rio Real Elementary,K-8,Rio Elementary,792,24.7,89.8 %,15.8,4514
5047,California Virtual Academy @ Maricopa,K-8,Maricopa Unified,"1,193",23.8,63.1 %,15.8,4639
5048,Esparto Elementary,K-5,Esparto Unified,440,24.4,79.3 %,15.8,5218
5049,Plummer Elementary,K-6,Los Angeles Unified,935,23.3,87.3 %,15.8,4743
5050,San Pasqual Valley Elementary,K-5,San Pasqual Valley Unified,351,19.5,97.2 %,15.8,5185
5051,Bing Wong Elementary,K-6,San Bernardino City Unified,742,25.5,96.9 %,15.8,4976
5052,H. A. Hyde Elementary,K-5,Pajaro Valley Unified,591,23.6,88.0 %,15.8,5250
5053,Alila,K-5,Earlimart Elementary,616,22,95.5 %,15.8,5212
5054,Burbank Elementary,K-6,Modesto City Elementary,724,24.9,96.7 %,15.8,5253
5055,Adams Elementary,K-8,Stockton Unified,558,34.8,70.8 %,15.7,5001
5056,Pleasant View Elementary,K-6,Baldwin Park Unified,444,22.2,93.2 %,15.7,4567
5057,Deborah A. Williams Elementary,K-6,Fresno Unified,651,25,97.5 %,15.7,5049
5058,Lakeside Elementary,K-8,Lakeside Union Elementary,301,23.1,93.4 %,15.7,4446
5059,Aspire College Academy,K-5,Oakland Unified,286,20.4,93.4 %,15.7,4961
5060,Enchanted Hills Elementary,K-6,Perris Elementary,512,22.2,89.1 %,15.6,4797
5061,Robert Heideman Elementary,K-5,Tustin Unified,641,29.1,92.5 %,15.6,4873
5062,Kingswood K-8,K-8,San Juan Unified,602,27.3,87.7 %,15.6,4505
5063,Loreto Street Elementary,K-5,Los Angeles Unified,407,22.6,93.1 %,15.6,3977
5064,Ninety-Third Street Elementary,K-6,Los Angeles Unified,"1,092",24.2,96.2 %,15.6,5202
5065,Sheridan Street Elementary,K-6,Los Angeles Unified,945,24.8,94.4 %,15.6,5262
5066,Willow Elementary,K-8,San Ysidro Elementary,"1,081",27.7,99.4 %,15.5,4691
5067,Tokay Elementary,K-5,Fontana Unified,597,25.9,83.6 %,15.5,5353
5068,Aynesworth Elementary,K-6,Fresno Unified,630,24.2,94.8 %,15.5,4865
5069,Davidson Elementary,K-6,San Bernardino City Unified,490,25.7,93.7 %,15.5,5306
5070,Horton Elementary,K-5,San Diego Unified,436,20.7,97.7 %,15.5,4952
5071,Beverly Hills Elementary,K-5,Vallejo City Unified,273,24.8,88.6 %,15.5,3728
5072,Burton Street Elementary,K-5,Los Angeles Unified,436,21.8,89.7 %,15.5,4736
5073,Palm Vista Elementary,K-6,Morongo Unified,365,24.3,74.0 %,15.5,4646
5074,Grand Oaks Elementary,K-5,San Juan Unified,304,25.3,78.3 %,15.5,3372
5075,Round Valley Elementary,K-8,Round Valley Unified,257,18.3,85.6 %,15.5,5562
5076,Houston,K-8,Lodi Unified,201,16.7,79.1 %,15.5,4749
5077,Margaret Sheehy Elementary,K-6,Merced City Elementary,602,22.2,92.4 %,15.4,4305
5078,Jefferson Elementary,K-6,Calexico Unified,733,25.2,83.9 %,15.4,5387
5079,Godfrey G. Berry Elementary,K-6,South Bay Union,544,27.2,79.4 %,15.4,4741
5080,San Antonio Elementary,K-5,Pomona Unified,473,24.8,97.5 %,15.4,4603
5081,Farr Avenue Elementary,K-5,Escondido Union,742,23.1,91.1 %,15.4,5133
5082,McKinley Elementary,K-5,San Leandro Unified,476,26.4,72.3 %,15.4,4420
5083,Brockton Avenue Elementary,K-5,Los Angeles Unified,222,18.5,69.4 %,15.4,4571
5084,Oehl Elementary,K-6,San Bernardino City Unified,600,25,87.0 %,15.3,5111
5085,Martin Luther King Junior Elementary,K-5,Oakland Unified,307,19.1,94.1 %,15.3,5507
5086,Warren A. Allison Elementary,K-6,Twin Rivers Unified,456,24,87.3 %,15.3,4490
5087,Victory Elementary,K-8,Stockton Unified,542,27.1,85.4 %,15.3,5182
5088,Pacific Union Elementary,K-8,Pacific Union Elementary,388,19.4,86.9 %,15.3,5033
5089,Glenwood Elementary,K-6,Robla Elementary,481,25.3,94.6 %,15.3,5082
5090,Box Springs Elementary,K-5,Moreno Valley Unified,429,25.2,83.9 %,15.3,5093
5091,Ninety-Fifth Street Elementary,K-5,Los Angeles Unified,968,24.2,95.3 %,15.2,5089
5092,Family Tree Learning Center,K-8,Hemet Unified,117,39,71.8 %,15.2,5567
5093,Abraham Lincoln Elementary,K-5,Santa Ana Unified,923,26.3,92.2 %,15.2,4822
5094,Lenwood Elementary,K-6,Barstow Unified,493,27.3,88.0 %,15.2,5160
5095,George De La Torre Junior Elementary,K-5,Los Angeles Unified,702,24.2,89.3 %,15.2,5191
5096,Selma Avenue Elementary,K-6,Los Angeles Unified,155,17.2,92.3 %,15.2,4876
5097,Los Banos Elementary,K-6,Los Banos Unified,917,27.7,87.5 %,15.2,4935
5098,Ford Elementary,K-6,West Contra Costa Unified,485,24.2,88.3 %,15.2,4658
5099,Walter White Elementary,K-6,Ceres Unified,646,19,92.3 %,15.2,4670
5100,Tolenas Elementary,K-5,Fairfield-Suisun Unified,608,25.3,77.1 %,15.2,5205
5101,Northridge Elementary,K-6,San Juan Unified,415,25.9,80.7 %,15.1,4947
5102,Maxine Hong Kingston Elementary,K-8,Stockton Unified,842,30,66.0 %,15.1,5210
5103,Loma Vista Elementary,K-6,South Whittier Elementary,536,24.3,94.2 %,15.1,4930
5104,Burns Valley,K-7,Konocti Unified,532,25.3,89.7 %,15.1,5355
5105,Serrano Elementary,K-5,Moreno Valley Unified,587,26.6,90.8 %,15.1,4938
5106,Diamond Valley Elementary,K-8,Alpine County Unified,80,10,62.5 %,15.1,
5107,Garfield Elementary,K-5,Oakland Unified,606,24.2,94.6 %,15.1,5167
5108,Olive Street Elementary,K-6,Anaheim Elementary,655,25.1,84.9 %,15.1,4814
5109,Elihu Beard Elementary,K-6,Modesto City Elementary,378,22.2,81.0 %,15.1,5445
5110,Monroe Elementary,K-8,Stockton Unified,538,38.4,91.3 %,15,5384
5111,Beckman Elementary,K-6,Lodi Unified,700,24.1,86.4 %,15,4731
5112,Date Elementary,K-5,Fontana Unified,742,26.5,92.2 %,15,4572
5113,Guinn (James M.) Elementary,K-6,Anaheim Elementary,759,27.1,78.4 %,15,4902
5114,W. E. B. DuBois Public Charter,K-12,Washington Unified,413,25.8,99.3 %,15,5251
5115,Tahoe Elementary,K-6,Sacramento City Unified,323,24.8,86.1 %,15,5051
5116,South Ranchito Dual Language Academy,K-5,El Rancho Unified,556,24.1,84.4 %,15,4713
5117,Glassell Park Elementary,K-6,Los Angeles Unified,401,22.2,93.5 %,15,5349
5118,Val Verde Elementary,K-6,Val Verde Unified,876,25.7,86.3 %,14.9,3844
5119,John Muir Elementary,K-6,Modesto City Elementary,526,22.8,84.8 %,14.9,4700
5120,Romero Elementary,K-5,Gustine Unified,260,21.6,84.6 %,14.9,4863
5121,Hacienda Elementary,3-5,Mojave Unified,494,23.5,83.4 %,14.9,5310
5122,Ezequiel Tafoya Alvarado Academy,K-8,Madera Unified,477,28,91.8 %,14.9,4727
5123,Bayside Martin Luther King Junior Academy,K-8,Sausalito Marin City,140,15.5,67.9 %,14.9,3984
5124,Walnut Park Elementary,K-5,Los Angeles Unified,802,24.3,95.9 %,14.8,4443
5125,Bear Mountain Elementary,K-6,Arvin Union,749,20.8,94.4 %,14.8,5149
5126,Martin Luther King Elementary,K-6,Compton Unified,504,22.9,85.1 %,14.8,4825
5127,Arrowhead Elementary,K-6,San Bernardino City Unified,337,28,96.1 %,14.8,5331
5128,Vine Street Elementary,K-6,Los Angeles Unified,511,24.3,93.2 %,14.8,4595
5129,Parkway Elementary,K-6,Sacramento City Unified,586,26.6,93.7 %,14.8,5338
5130,One Hundred Seventh Street Elementary,K-5,Los Angeles Unified,922,24.2,96.9 %,14.8,5471
5131,Glenwood Elementary,K-5,Los Angeles Unified,409,22.7,83.4 %,14.8,4859
5132,Kingston Elementary,K-6,Hesperia Unified,646,32.3,77.6 %,14.8,4485
5133,Mark Twain Elementary,K-6,Sacramento City Unified,346,28.8,93.1 %,14.8,4641
5134,Magnolia Avenue Elementary,K-6,Los Angeles Unified,"1,138",23.7,96.2 %,14.8,4943
5135,Parkview Elementary,K-6,Hueneme Elementary,702,25,44.0 %,14.7,5351
5136,Preston Elementary,K-5,Rialto Unified,623,28.3,88.6 %,14.7,4997
5137,Fremont Elementary,K-6,Bakersfield City,859,22.6,97.3 %,14.7,5171
5138,Alpha Elementary,K-6,Madera Unified,770,25.6,90.1 %,14.7,5385
5139,Valley Elementary,K-5,Yucaipa-Calimesa Joint Unified,434,22.8,81.1 %,14.7,4338
5140,Cabazon Elementary,K-5,Banning Unified,302,21.5,93.4 %,14.7,5112
5141,Parklane Elementary,K-6,Lodi Unified,503,25.1,96.2 %,14.7,4867
5142,Kern Avenue Elementary,K-5,McFarland Unified,"1,171",26.6,88.5 %,14.6,4259
5143,Fair Oaks Elementary,K-6,Redwood City Elementary,351,23.4,93.7 %,14.6,5344
5144,Oakwood Elementary,K-6,Lodi Unified,487,20.2,89.1 %,14.6,5144
5145,West Randall Elementary,K-6,Fontana Unified,517,24.6,85.7 %,14.6,4711
5146,ICEF Inglewood Elementary Charter Academy,K-5,Inglewood Unified,394,23.1,95.2 %,14.6,3603
5147,Valley View Elementary,K-5,Alvord Unified,413,24.2,83.8 %,14.6,4484
5148,Miramonte Elementary,K-6,Los Angeles Unified,749,23.4,94.5 %,14.6,5473
5149,Citrus Elementary,K-6,Fontana Unified,816,26.3,91.1 %,14.6,4346
5150,Whittier Elementary,K-6,Newport-Mesa Unified,718,25.6,94.2 %,14.6,4800
5151,Norton Space and Aeronautics Academy,K-12,San Bernardino County Office Of Education,744,24.8,76.1 %,14.6,4679
5152,Ramona Elementary,K-5,Moreno Valley Unified,813,27.1,91.8 %,14.6,5233
5153,Sunnymead Elementary,K-5,Moreno Valley Unified,835,26.9,93.1 %,14.6,5500
5154,Lathrop Elementary,K-8,Manteca Unified,878,28.3,75.1 %,14.6,5196
5155,Lovelia P. Flournoy Elementary,K-5,Los Angeles Unified,611,21.8,92.5 %,14.5,5186
5156,New Hope Elementary,K-8,New Hope Elementary,196,32.6,98.5 %,14.5,4427
5157,Fremont Elementary,K-6,Alisal Union,874,27.3,89.0 %,14.5,4913
5158,Lowell Elementary,K-5,Santa Ana Unified,927,26.4,95.0 %,14.5,5132
5159,Michelle Obama Elementary,K-5,Los Angeles Unified,866,24.7,90.3 %,14.5,5172
5160,Angeles Mesa Elementary,K-5,Los Angeles Unified,412,21.6,90.1 %,14.5,4838
5161,Mario G. Olmos Elementary,K-6,Fresno Unified,818,23.3,97.3 %,14.5,5409
5162,Olive Elementary,K-5,Vista Unified,400,25,86.5 %,14.5,5077
5163,Sassarini Elementary,K-5,Sonoma Valley Unified,375,22,77.6 %,14.5,4898
5164,Oak Avenue Elementary,K-5,Greenfield Union Elementary,824,24.9,85.9 %,14.4,4798
5165,Elmwood Elementary,K-8,Stockton Unified,826,30.5,84.1 %,14.4,5378
5166,Villacorta Elementary,K-6,Rowland Unified,482,25.3,93.0 %,14.4,4836
5167,Maryland Elementary,K-5,Vista Unified,628,26.1,93.3 %,14.4,4501
5168,Margaret White Elementary,K-8,Palo Verde Unified,693,28.8,71.4 %,14.4,4866
5169,Jose Sepulveda Elementary,K-5,Santa Ana Unified,460,23,94.8 %,14.4,5235
5170,Le Grand Elementary,K-8,Le Grand Union Elementary,402,22.3,81.6 %,14.4,4854
5171,Central Elementary,K-5,Escondido Union,731,25.2,85.6 %,14.4,5227
5172,Sunnyslope Elementary,K-6,South Bay Union,513,25.6,74.5 %,14.3,4807
5173,Rowell Elementary,K-6,Fresno Unified,694,23.9,97.1 %,14.3,5232
5174,Delta Charter,K-12,New Jerusalem Elementary,516,17.2,53.1 %,14.3,5073
5175,Lincoln Elementary,K-5,Vallejo City Unified,217,24.1,94.9 %,14.3,5179
5176,Hoffer Elementary,K-5,Banning Unified,535,24.3,97.0 %,14.3,4926
5177,Trinity Street Elementary,K-5,Los Angeles Unified,349,20.5,90.8 %,14.3,4245
5178,Bella Vista Elementary,K-5,Palm Springs Unified,777,25,91.5 %,14.3,5015
5179,Gratts Learning Academy for Young Scholars (GLAYS),K-6,Los Angeles Unified,572,24.8,88.3 %,14.3,4794
5180,Everett A. Rea Elementary,K-6,Newport-Mesa Unified,492,22.3,94.1 %,14.2,5368
5181,Karl F. Clemens Elementary,K-6,Wasco Union Elementary,599,23,94.3 %,14.2,5041
5182,American Lakes Elementary,K-5,Natomas Unified,469,24.6,77.6 %,14.2,4456
5183,Charles Peck Elementary,K-5,San Juan Unified,343,24.5,85.1 %,14.2,4579
5184,Pulliam Elementary,K-8,Stockton Unified,745,28.6,70.3 %,14.2,5203
5185,Margaret Heath Elementary,K-6,Baldwin Park Unified,509,23.1,85.9 %,14.2,4647
5186,Martin Luther King Junior Elementary,K-5,Santa Ana Unified,754,25.1,96.8 %,14.2,5347
5187,Fairview Elementary,3-5,Orland Joint Unified,494,20.5,81.0 %,14.1,4956
5188,Esplanade Elementary,K-6,Orange Unified,354,25.2,88.4 %,14.1,4480
5189,McKinley Elementary,K-8,Stockton Unified,780,33.9,88.2 %,14.1,5200
5190,Hemmerling Elementary,K-5,Banning Unified,564,26.8,90.4 %,14.1,4366
5191,Cathedral City Elementary,K-5,Palm Springs Unified,744,23.2,96.6 %,14.1,4900
5192,Preparatory Literary Academy of Cultural Excellence,K-5,Oakland Unified,233,23.3,92.7 %,14.1,5429
5193,Park Avenue Elementary,K-6,Los Angeles Unified,584,22.4,92.1 %,14.1,4310
5194,Jacob Wiens Elementary,K-5,Hemet Unified,797,24.9,97.4 %,14.1,4493
5195,Avenal Elementary,K-5,Reef-Sunset Unified,801,25,92.0 %,14,4855
5196,William Garrison Elementary,K-6,Modesto City Elementary,358,21,92.2 %,14,5096
5197,Curren Elementary,K-8,Oxnard,"1,058",25.8,87.9 %,14,5140
5198,George Washington Elementary,K-8,Stockton Unified,242,34.5,78.1 %,14,5348
5199,One Hundred Twelfth Street Elementary,K-5,Los Angeles Unified,459,21.8,98.0 %,13.9,5495
5200,McKinley Elementary,K-6,Santa Barbara Unified,423,26.4,86.5 %,13.9,4987
5201,Lakeland Village,K-8,Lake Elsinore Unified,866,19.6,89.0 %,13.9,5161
5202,Westside Elementary,K-6,Coachella Valley Unified,549,21.9,92.5 %,13.9,4995
5203,Margaret Keating Elementary,K-6,Del Norte County Unified,91,15.1,84.6 %,13.9,5480
5204,Kelseyville Elementary,K-5,Kelseyville Unified,497,20.7,88.7 %,13.9,5177
5205,Highland Elementary,K-5,Monterey Peninsula Unified,401,22.2,95.5 %,13.9,4663
5206,Mountain Vista,K-5,Fillmore Unified,602,26.1,75.1 %,13.9,5311
5207,Imagine Schools at Imperial Valley,K-7,El Centro Elementary,861,25.3,81.8 %,13.9,5055
5208,Big Valley Elementary,K-6,Big Valley Joint Unified,78,19.5,65.4 %,13.8,5506
5209,Highland Elementary,K-5,Vallejo City Unified,671,25.8,87.8 %,13.8,4673
5210,Worthington Elementary,K-5,Inglewood Unified,473,20.5,73.8 %,13.8,5020
5211,Olga L. Reed Elementary,K-8,Orcutt Union Elementary,215,26.8,80.9 %,13.8,4703
5212,Edward Russell Elementary,K-6,Garden Grove Unified,695,26.7,93.1 %,13.8,4921
5213,Miguel Hidalgo Elementary,K-6,Fresno Unified,718,21.7,98.3 %,13.8,5122
5214,North Beardsley Elementary,K-6,Beardsley Elementary,622,23.9,94.5 %,13.7,4600
5215,Higher Learning Academy,K-12,Twin Rivers Unified,235,18,89.8 %,13.7,4197
5216,Hoover Elementary,K-8,Stockton Unified,592,32.8,67.6 %,13.7,5266
5217,Williams Elementary,K-5,Bakersfield City,470,23.5,98.3 %,13.7,5407
5218,Starlight Elementary,K-5,Pajaro Valley Unified,667,24.7,91.9 %,13.7,4235
5219,Arlington Heights Elementary,K-5,Los Angeles Unified,493,21.4,92.9 %,13.7,5187
5220,Excel Prep Charter,K-5,San Bernardino City Unified,165,27.5,73.9 %,13.7,4457
5221,Ellen Ochoa Learning Center,K-8,Los Angeles Unified,"1,425",24.5,88.3 %,13.7,5139
5222,Teague Elementary,K-6,Central Unified,710,26.2,95.1 %,13.7,5487
5223,Addams Elementary,K-6,Fresno Unified,824,24.9,97.2 %,13.7,5324
5224,Golden Poppy Elementary,K-6,Palmdale Elementary,812,26.1,83.5 %,13.7,4671
5225,Anatola Avenue Elementary,K-5,Los Angeles Unified,474,22.5,84.6 %,13.7,4229
5226,Mann (Horace) Elementary,K-6,Anaheim Elementary,931,27.3,86.4 %,13.6,4967
5227,Lopez Elementary,K-6,Pomona Unified,641,29.1,96.9 %,13.6,5370
5228,James Monroe Elementary,K-6,Santa Rosa Elementary,428,21.4,87.9 %,13.6,5401
5229,Goshen Elementary,K-6,Visalia Unified,706,27.1,74.4 %,13.6,5372
5230,Del Paso Heights Elementary,K-6,Twin Rivers Unified,533,24.2,92.7 %,13.6,5377
5231,Murchison Street Elementary,K-6,Los Angeles Unified,476,21.6,95.4 %,13.5,5087
5232,Mojave Vista Elementary,K-6,Victor Elementary,"1,020",26.1,94.5 %,13.5,5126
5233,Elwin Elementary,K-6,Baldwin Park Unified,465,24.4,90.3 %,13.5,5356
5234,Green Oaks Academy,K-5,Ravenswood City Elementary,181,18.1,93.9 %,13.5,5406
5235,Browning Road Elementary,K-5,McFarland Unified,664,25.5,91.9 %,13.4,5074
5236,Harrison Elementary,K-8,Stockton Unified,610,35.8,88.4 %,13.4,4912
5237,Desert View Elementary,K-6,Lancaster Elementary,800,27.5,88.5 %,13.4,5060
5238,Heroes Elementary,K-5,Santa Ana Unified,625,28.4,97.3 %,13.4,5364
5239,Teresa Burke Elementary,K-6,Wasco Union Elementary,770,25.6,91.0 %,13.4,5402
5240,Potrero Elementary,K-8,Mountain Empire Unified,304,23.3,96.4 %,13.4,5333
5241,Natividad Elementary,K-6,Salinas City Elementary,672,24,92.3 %,13.3,5516
5242,Biggs Elementary,K-8,Biggs Unified,395,21.9,77.0 %,13.3,5515
5243,Helen Estock Elementary,K-5,Tustin Unified,350,25,86.3 %,13.3,4373
5244,Rother Elementary,K-5,Enterprise Elementary,396,24.7,86.6 %,13.3,5008
5245,Brookfield Elementary,K-5,Oakland Unified,362,19,81.8 %,13.3,5204
5246,Rio Valley Charter,K-12,Lodi Unified,307,30.7,68.7 %,13.3,5579
5247,Hollywood Park Elementary,K-6,Sacramento City Unified,356,23.7,87.1 %,13.3,5101
5248,Las Palmitas Elementary,K-6,Coachella Valley Unified,679,23.4,96.3 %,13.3,5240
5249,Liberty Elementary,K-6,Victor Elementary,860,26,89.0 %,13.2,4667
5250,Lomitas Elementary,K-6,Victor Elementary,786,25.3,85.5 %,13.2,5279
5251,Washington Elementary,K-6,Visalia Unified,307,25.5,88.0 %,13.2,5019
5252,Cox Academy,K-5,Alameda County Office Of Education,620,38.7,86.6 %,13.2,5444
5253,Bemis Elementary,K-5,Rialto Unified,689,28.7,90.4 %,13.2,5039
5254,Sixty-Eighth Street Elementary,K-6,Los Angeles Unified,857,24.4,91.1 %,13.2,5154
5255,Wingland Elementary,K-5,Standard Elementary,752,21.4,84.6 %,13.2,4760
5256,Coronado Elementary,K-6,West Contra Costa Unified,424,28.2,95.1 %,13.2,4491
5257,P. A. Walsh STEAM Academy,K-5,Morgan Hill Unified,615,21.9,73.7 %,13.2,4511
5258,Clemente Charter,K-6,Los Angeles Unified,241,18.5,89.6 %,13.2,
5259,Mare Island Health and Fitness Academy,K-8,Vallejo City Unified,465,25.8,78.9 %,13.2,4842
5260,Eastman Avenue Elementary,K-5,Los Angeles Unified,934,24.5,90.7 %,13.1,4436
5261,Radcliff Elementary,K-5,Pajaro Valley Unified,560,25.4,93.9 %,13.1,5475
5262,Lexington Elementary,K-5,Cajon Valley Union,791,24.7,96.1 %,13.1,4782
5263,Loma Vista Elementary,K-6,Salinas City Elementary,560,26.6,91.3 %,13.1,5242
5264,Park View Elementary,K-6,Victor Elementary,848,25.6,88.4 %,13.1,4737
5265,Camino Nuevo Elementary #3,K-8,Los Angeles Unified,789,25.4,96.7 %,13.1,5088
5266,Holmes Avenue Elementary,K-6,Los Angeles Unified,299,21.3,94.3 %,13,5335
5267,Allendale Elementary,K-5,Oakland Unified,374,23.3,85.8 %,13,5048
5268,Dunn Elementary,K-5,Rialto Unified,665,27.7,91.0 %,13,5365
5269,Brentwood Elementary,K-6,Victor Elementary,886,26.8,93.6 %,13,5013
5270,Vista Verde Elementary,K-5,Snowline Joint Unified,762,27.2,81.0 %,13,4818
5271,Abraham Lincoln Elementary,K-6,Santa Rosa Elementary,358,19.8,89.7 %,13,5284
5272,Camellia Avenue Elementary,K-5,Los Angeles Unified,682,22.7,88.4 %,13,4083
5273,Cole Elementary,K-6,San Bernardino City Unified,413,25.8,94.9 %,13,5503
5274,Nicholas Elementary,K-6,Sacramento City Unified,653,27.2,83.9 %,13,5071
5275,Anna Kyle Elementary,K-5,Fairfield-Suisun Unified,754,26,86.2 %,13,5408
5276,Chavez Elementary,K-5,San Diego Unified,478,21.7,94.6 %,13,4899
5277,Pyle Elementary,K-6,Fresno Unified,765,25.5,95.2 %,13,5211
5278,Altadena Elementary,K-5,Pasadena Unified,285,31.6,83.5 %,13,5454
5279,King-Chavez Academy of Excellence,K-8,San Diego Unified,329,23.5,99.1 %,13,5482
5280,Laurel Elementary,K-5,Oceanside Unified,483,20.1,94.6 %,13,5034
5281,Sherwood Elementary,K-6,Salinas City Elementary,903,23.7,94.9 %,13,5462
5282,Aptitud Community Academy at Goss,K-8,Alum Rock Union Elementary,442,24.5,92.8 %,12.9,4726
5283,State Street Elementary,K-5,Los Angeles Unified,564,23.5,90.6 %,12.9,4745
5284,Del Rosa Elementary,K-6,San Bernardino City Unified,581,26.4,95.9 %,12.9,5301
5285,Edgemont Elementary,K-5,Moreno Valley Unified,711,27.3,96.2 %,12.9,5527
5286,Desert Rose Elementary,K-8,Palmdale Elementary,990,30,88.3 %,12.9,5307
5287,Wallace R. Davis Elementary,K-5,Santa Ana Unified,682,27.2,98.4 %,12.9,5290
5288,Cleveland Elementary,K-6,Santa Barbara Unified,372,21.8,54.8 %,12.9,5261
5289,Ethel Phillips Elementary,K-6,Sacramento City Unified,565,28.2,77.5 %,12.9,5228
5290,Harrington Elementary,K-5,Oxnard,505,22.9,90.9 %,12.9,5449
5291,Aragon Avenue Elementary,K-5,Los Angeles Unified,354,20.8,91.2 %,12.9,5371
5292,Bernhard Marks Elementary,3-5,Dos Palos Oro Loma Joint Unified,508,24.1,94.1 %,12.9,5097
5293,McKinley Avenue Elementary,K-6,Los Angeles Unified,795,24,96.7 %,12.9,4858
5294,Hesperian Elementary,K-5,San Lorenzo Unified,706,22.7,78.5 %,12.8,5103
5295,Brook Hill Elementary,K-6,Santa Rosa Elementary,494,23.5,86.2 %,12.8,5278
5296,Leo Politi Elementary,K-5,Los Angeles Unified,752,22.7,98.3 %,12.8,5350
5297,Cypress Elementary,K-5,Fontana Unified,824,26.5,90.5 %,12.8,5003
5298,Central Elementary,K-5,San Diego Unified,737,23.7,98.1 %,12.8,4753
5299,Century Park Elementary,K-5,Los Angeles Unified,380,21.1,89.5 %,12.8,5434
5300,Houston Elementary,K-6,Visalia Unified,546,27.3,84.8 %,12.8,4804
5301,Carlos Santana Arts Academy,K-5,Los Angeles Unified,508,25.4,93.5 %,12.8,5193
5302,Northwood Elementary,K-6,Twin Rivers Unified,491,25.8,96.7 %,12.8,5148
5303,Irwin Academy of Performing Arts,K-6,Victor Elementary,724,25.8,89.4 %,12.8,4849
5304,Lazear Charter Academy,K-8,Alameda County Office Of Education,459,20.8,92.4 %,12.8,5300
5305,Sandia Elementary,K-8,Apple Valley Unified,931,25.8,89.7 %,12.7,5030
5306,Juniper,K-8,Redding Elementary,230,20.9,89.1 %,12.7,4238
5307,Casa Loma Elementary,K-5,Bakersfield City,760,21.1,97.2 %,12.7,4698
5308,Virginia Avenue Elementary,K-6,Fairfax Elementary,676,24.1,97.2 %,12.7,5325
5309,Arellanes (Don Juan Bautista) Elementary,K-6,Santa Maria-Bonita,295,22.6,87.5 %,12.7,5228
5310,Maple Elementary,K-5,Tulare City,725,25,97.2 %,12.7,4730
5311,East Oakland Leadership Academy,K-8,Oakland Unified,112,28,94.6 %,12.7,4878
5312,John Kelley Elementary,K-6,Coachella Valley Unified,596,17.5,85.1 %,12.7,5040
5313,Kingsley Elementary,K-5,Pomona Unified,615,23.6,95.0 %,12.7,5134
5314,Flynn (Leonard R.) Elementary,K-5,San Francisco Unified,437,19.8,70.0 %,12.6,4950
5315,King Elementary,K-6,Fresno Unified,594,22.8,98.3 %,12.6,5413
5316,Elizabeth Learning Center,K-12,Los Angeles Unified,"1,783",24.7,88.4 %,12.6,5005
5317,Wilson Elementary,K-6,Fresno Unified,792,24.7,94.2 %,12.6,5298
5318,Liberty Elementary,K-6,Santa Maria-Bonita,814,23.9,84.6 %,12.6,5379
5319,Cleveland Elementary,K-5,San Francisco Unified,362,22.6,73.8 %,12.6,4954
5320,Palm View Elementary,K-6,Coachella Valley Unified,556,23.1,96.2 %,12.6,5383
5321,Emilie Ritchen Elementary,K-5,Oxnard,641,25.6,77.7 %,12.5,5021
5322,Los Robles Magnet Academy,K-8,Ravenswood City Elementary,392,21.7,89.3 %,12.5,5190
5323,Fairview Elementary,K-6,Modesto City Elementary,775,26.7,96.7 %,12.5,5247
5324,Julien Hathaway Elementary,K-5,Hueneme Elementary,609,24.3,76.5 %,12.5,5318
5325,Carroll Fowler Elementary,K-6,Ceres Unified,673,24.9,83.4 %,12.5,5044
5326,Wakefield Elementary,K-6,Turlock Unified,636,22.7,95.1 %,12.5,5254
5327,Ina Arbuckle Elementary,K-6,Jurupa Unified,567,22.6,94.0 %,12.5,4972
5328,Butterfield Elementary,K-5,Moreno Valley Unified,785,28,87.5 %,12.5,5308
5329,Eagle Prairie Elementary,K-5,Rio Dell Elementary,219,21.9,73.5 %,12.5,4998
5330,Panorama City Elementary,K-5,Los Angeles Unified,513,22.3,91.2 %,12.4,5327
5331,Esperanza Elementary,K-5,Los Angeles Unified,813,23.9,96.8 %,12.4,5143
5332,Alpine Elementary,K-8,Keppel Union Elementary,430,21.5,87.0 %,12.4,5208
5333,Brentwood Academy,K-5,Ravenswood City Elementary,527,22.9,86.9 %,12.4,4993
5334,Thomas Edison Language Institute K-8,K-8,San Juan Unified,823,23.5,83.8 %,12.4,5243
5335,Lincoln Elementary,K-7,Compton Unified,269,17.9,81.8 %,12.4,5554
5336,El Verano Elementary,K-5,Sonoma Valley Unified,434,24.1,76.0 %,12.3,4959
5337,Lemonwood Elementary,K-8,Oxnard,910,25.2,91.0 %,12.3,5063
5338,Gardner Elementary,K-5,San Jose Unified,426,23.6,72.3 %,12.3,5369
5339,Belle Air Elementary,K-5,San Bruno Park Elementary,315,,83.5 %,12.3,5459
5340,Sutherland Elementary,K-6,Lodi Unified,368,19.3,94.3 %,12.3,4413
5341,Gerber Elementary,K-8,Gerber Union Elementary,410,24.1,87.1 %,12.3,4869
5342,Community Preparatory Academy,K-8,Los Angeles Unified,256,19.6,84.4 %,12.3,
5343,Trinity Valley Elementary,K-8,Klamath-Trinity Joint Unified,193,17.5,85.0 %,12.2,5127
5344,Thomas A. Edison Elementary,K-5,Santa Ana Unified,587,26.6,95.4 %,12.2,4016
5345,Kirk Elementary,K-6,Fresno Unified,322,20.1,97.8 %,12.2,5181
5346,Molly S. Bakman Elementary,K-6,Fresno Unified,840,24.7,90.2 %,12.2,4991
5347,Montezuma Elementary,K-8,Stockton Unified,741,26.4,90.2 %,12.2,5252
